LOCATION,DATES,CLOSURE TYPE,PURPOSE,HOTLINE
UNIVERSITY DR: 42ND ST - 38TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 7TH ST - 12TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
44TH ST: MORELAND ST - GATEWAY BLVD,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: EARLL DR - OSBORN RD,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ROESER RD: 36TH ST - 40TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BROADWAY RD: 30TH ST - 38TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
35TH AVE: LATHAM ST - MORELAND ST,10-03-2019 - 10/10/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
TATUM BLVD: CHOLLA ST - SHEA BLVD,09-27-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PARADISE VILLAGE PKWY: 44TH ST - TATUM BLVD,09-27-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
LONE CACTUS DR: 19TH AVE - 21ST AVE,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ROSE GARDEN LN: 19TH AVE - 21ST AVE,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
23RD AVE: UNION HILLS DR - UTOPIA RD,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNIVERSITY DR: 24TH ST - 16TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 24TH ST - 28TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNION HILLS DR: 23RD AVE - BLACK CANYON HWY,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 48TH ST - 56TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD: 12TH ST - LONGVIEW AVE,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 44TH ST - 50TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNIVERSITY DR: 48TH ST - 44TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
16TH ST: BUCKEYE RD - JEFFERSON ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 1ST AVE - 2ND ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD: 34TH ST - 38TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
44TH ST: MCDOWELL RD - THOMAS RD,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PEORIA AVE: 25TH AVE - 23RD AVE,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 17TH ST - 15TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNIVERSITY DR: 35TH ST - ELWOOD ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD AVE: HOLLY ST - CORONADO RD,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
15TH AVE: JEFFERSON ST - MONROE ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PIMA ST: 18TH AVE - 7TH AVE,10-01-2019 - 10/10/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
4TH ST: GARFIELD ST - MCKINLEY ST,05-16-2019 - 10/11/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
THOMAS RD: 24TH ST - 32ND ST,08-10-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
TATUM BLVD: DEER VALLEY DR - MAYO BLVD,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
CAVE CREEK RD: DANBURY RD - PARADISE LN,08-19-2019 - 10/11/2019,PARTIAL,UTILITY WORK,602-441-9400
DESERT WILLOW PKWY: DIXILETA DR - ROBERTA DR,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
51ST AVE: VAN BUREN ST - ROOSEVELT ST,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
32ND ST: MICHIGAN AVE - DANBURY RD,09-17-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
24TH ST: CORONADO RD - PALM LN,10-07-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
83RD AVE: LOWER BUCKEYE RD - ELWOOD ST,09-09-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
19TH AVE: MOHAWK LN - DEER VALLEY RD,09-12-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
7TH AVE: UNION HILLS DR - BEHREND DR,09-16-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
47TH AVE: MICHIGAN AVE - GROVERS AVE,10-11-2019 - 10/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
GROVERS AVE: 51ST AVE - 47TH AVE,10-11-2019 - 10/11/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
51ST AVE: GROVERS AVE - UNION HILLS DR,10-11-2019 - 10/11/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
BEARDSLEY RD: 26TH ST - 32ND ST,09-16-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
VAN BUREN ST: 27TH AVE - 39TH AVE,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
SHEA BLVD: TATUM BLVD - 56TH ST,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
27TH AVE: VAN BUREN ST - BUCKEYE RD,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
32ND ST: AIR LN - MCDOWELL RD,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
19TH AVE: CAMELBACK RD - INDIAN SCHOOL RD,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
UNION HILLS DR: 34TH ST - 36TH ST,09-27-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
27TH AVE: PALM LN - ROOSEVELT ST,09-23-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
DESERT FOOTHILLS PKWY: FRYE RD - GLENHAVEN DR,09-23-2019 - 10/11/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
PARADISE LN: 14TH ST - 16TH ST,09-25-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THUNDERBIRD RD: 71ST ST - SCOTTSDALE RD,09-25-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
TATUM BLVD: CHOLLA ST - PARADISE VILLAGE PKWY,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
17TH AVE: CHANDLER BLVD - NIGHTHAWK WAY,09-27-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAVE CREEK RD: ROSE GARDEN LN - QUAIL AVE,10-01-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
27TH DR: CAREFREE HWY - WESTLAND RD,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
MCDOWELL RD: 67TH AVE - 69TH AVE,09-26-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
KNOX RD: 36TH ST - 44TH ST,09-26-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
48TH ST: CHANDLER BLVD - THISTLE LANDING DR,09-27-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ADAMS ST: 12TH AVE - 13TH AVE,09-27-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
12TH AVE: ADAMS ST - JEFFERSON ST,09-27-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH ST: PEORIA AVE - LARKSPUR DR,09-27-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
7TH ST: THUNDERBIRD RD - LARKSPUR DR,09-27-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
3RD AVE: MCKINLEY ST - ROOSEVELT ST,09-27-2019 - 10/11/2019,PARTIAL,UTILITY WORK,480-201-1506
MARYLAND AVE: 19TH ST - 20TH ST,09-26-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MOON VALLEY DR: HANA MAUI DR - BALTUSROL CIR,09-27-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
23RD AVE: ALAMEDA RD - FARMERS WAY,10-10-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
59TH AVE: VAN BUREN ST - BUCKEYE RD,10-09-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
CAMELBACK RD: 16TH ST - 24TH ST,09-30-2019 - 10/11/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
39TH AVE: NORTHERN AVE - GRISWOLD RD,09-30-2019 - 10/11/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
OAK ST: 3RD ST - 7TH ST,10-12-2019 - 10/12/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
INDIAN SCHOOL RD: CENTRAL AVE - 7TH ST,10-12-2019 - 10/12/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
3RD ST: PALM LN - INDIAN SCHOOL RD,10-12-2019 - 10/12/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
CENTRAL AVE: OCOTILLO RD - FLYNN LN,08-21-2019 - 10/12/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
40TH ST: WIER AVE - ROESER RD,09-23-2019 - 10/12/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
OSBORN RD: 44TH ST - 44TH PL,09-30-2019 - 10/12/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAMPBELL AVE: 51ST AVE - 47TH AVE,09-27-2019 - 10/12/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE: INDIAN SCHOOL RD - CAMELBACK RD,02-19-2019 - 10/13/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE: CAMELBACK RD - HIGHLAND AVE,04-13-2019 - 10/13/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 99TH AVE - 91ST AVE,10-13-2019 - 10/13/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
91ST AVE: CAMELBACK RD - INDIAN SCHOOL RD,10-13-2019 - 10/13/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
PARADISE LN: 71ST ST - SCOTTSDALE RD,08-13-2019 - 10/13/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
TIERRA BUENA LN: 71ST ST - SCOTTSDALE RD,08-13-2019 - 10/13/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
71ST ST: SANDRA TER - KIERLAND BLVD,08-13-2019 - 10/13/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
PINNACLE PEAK RD: 19TH AVE - 20TH DR,10-12-2019 - 10/13/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
51ST AVE: WATKINS ST - MOHAVE ST,10-12-2019 - 10/13/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
5TH ST: JEFFERSON ST - WASHINGTON ST,10-11-2019 - 10/13/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
48TH ST: FILLMORE ST - ROOSEVELT ST,09-23-2019 - 10/13/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE: WELDON AVE - GLENROSA AVE,05-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE: WELDON AVE - INDIAN SCHOOL RD,05-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,10-11-2019 - 10/14/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
INDIAN SCHOOL RD: 56TH ST - 60TH ST,08-14-2019 - 10/14/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
32ND ST: TONOPAH DR - MOHAWK LN,10-11-2019 - 10/14/2019,FULL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BEARDSLEY RD: CAVE CREEK RD - 32ND ST,10-11-2019 - 10/14/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAVE CREEK RD: ROSE GARDEN LN - BEARDSLEY RD,10-11-2019 - 10/14/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAMELBACK RD: 35TH AVE - 36TH AVE,09-30-2019 - 10/14/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
35TH AVE: CAMELBACK RD - PASADENA AVE,09-30-2019 - 10/14/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
CAMELBACK RD: 5TH ST - 3RD ST,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CHOLLA ST: 45TH AVE - 47TH AVE,10-04-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: PIERCE ST - MCKINLEY ST,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
43RD AVE: PINCHOT AVE - THOMAS RD,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: MULBERRY ST - CATALINA DR,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
31ST AVE: POLK ST - FILLMORE ST,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD AVE: MCDOWELL RD - THOMAS RD,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: ROANOKE AVE - CATALINA DR,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: VIRGINIA AVE - ASHLAND AVE,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: WELDON AVE - OSBORN RD,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD AVE: CATALINA DR - FLOWER ST,09-30-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
YORKSHIRE DR: 41ST AVE - 41ST DR,10-01-2019 - 10/14/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
LOWER BUCKEYE RD: 103RD AVE - 107TH AVE,09-12-2019 - 10/15/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-694-7185
15TH AVE: MARICOPA FWY - HILTON AVE,10-14-2019 - 10/15/2019,FULL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
OSBORN RD: 55TH AVE - 51ST AVE,09-16-2019 - 10/16/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
47TH PL: EDGEMONT AVE - OAK ST,09-16-2019 - 10/16/2019,FULL,UTILITY WORK,NOT APPLICABLE
ARCADIA DR: 48TH ST - CALLE REDONDA,09-16-2019 - 10/16/2019,FULL,UTILITY WORK,NOT APPLICABLE
ARCADIA DR: 48TH ST - CALLE REDONDA,09-16-2019 - 10/16/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
SOUTHERN AVE: 24TH ST - 32ND ST,10-02-2019 - 10/16/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
16TH ST: GRANT ST - BUCKEYE RD,10-02-2019 - 10/16/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
PALM LN: 31ST ST - 31ST PL,07-24-2019 - 10/18/2019,FULL,UTILITY WORK,NOT APPLICABLE
19TH AVE: HAPPY VALLEY RD - PINNACLE PEAK RD,09-25-2019 - 10/18/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
63RD AVE: RAYMOND ST - JONES AVE,09-19-2019 - 10/18/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
63RD AVE: RAYMOND ST - JONES AVE,09-26-2019 - 10/18/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
MAYO BLVD: TATUM BLVD - 56TH ST,10-02-2019 - 10/18/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-540-1098
THUNDERBIRD RD: 51ST AVE - 43RD AVE,10-04-2019 - 10/18/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
17TH AVE: ADAMS ST - JEFFERSON ST,10-19-2019 - 10/19/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
JEFFERSON ST: 15TH AVE - 7TH AVE,10-19-2019 - 10/19/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
9TH AVE: JEFFERSON ST - WASHINGTON ST,10-19-2019 - 10/19/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
GRANT ST: 7TH AVE - 4TH AVE,09-23-2019 - 10/19/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
48TH ST: MCDOWELL RD - ROOSEVELT ST,09-19-2019 - 10/19/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 7TH ST - CENTRAL AVE,10-20-2019 - 10/20/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
44TH ST: BELLEVIEW ST - COFCO CENTER BLVD,09-30-2019 - 10/20/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,10-18-2019 - 10/21/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
GARFIELD ST: 4TH ST - 5TH ST,06-21-2019 - 10/21/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
MCKINLEY ST: 4TH ST - 5TH ST,06-21-2019 - 10/21/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
5TH ST: GARFIELD ST - MCKINLEY ST,06-21-2019 - 10/21/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
WASHINGTON ST: 19TH AVE - 7TH AVE,10-19-2019 - 10/19/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
JEFFERSON ST: 19TH AVE - 15TH AVE,10-19-2019 - 10/19/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
RANCHO DR: 40TH ST - SOLANO DR,10-22-2019 - 10/22/2019,FULL,UTILITY WORK,NOT APPLICABLE
TAYLOR ST: 1ST ST - 2ND ST,10-23-2019 - 10/24/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
1ST ST: FILLMORE ST - POLK ST,10-23-2019 - 10/24/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
7TH AVE: BASELINE RD - DOBBINS RD,08-23-2019 - 10/25/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
MAYO BLVD: SCOTTSDALE RD - 66TH ST,08-26-2019 - 10/25/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
29TH AVE: BELL RD - UNION HILLS DR,09-20-2019 - 10/25/2019,PARTIAL,STREET TRANSPORTATION WORK,623-582-1919
CAMELBACK RD: 107TH AVE - 115TH AVE,10-14-2019 - 10/25/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
59TH AVE: BASELINE RD - SOUTH MOUNTAIN AVE,10-14-2019 - 10/25/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
35TH AVE: MCDOWELL RD - THOMAS RD,10-14-2019 - 10/25/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
35TH AVE: THOMAS RD - INDIAN SCHOOL RD,10-14-2019 - 10/25/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
40TH ST: WASHINGTON ST - PORTLAND ST,09-13-2019 - 10/25/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
40TH ST: PECOS RD - CHANDLER BLVD,10-14-2019 - 10/25/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
52ND ST: TAYLOR ST - ROOSEVELT ST,10-24-2019 - 10/25/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
4TH ST: MCKINLEY ST - GARFIELD ST,09-30-2019 - 10/25/2019,PARTIAL,UTILITY WORK,480-201-1506
GARFIELD ST: 4TH ST - 6TH ST,09-30-2019 - 10/25/2019,FULL,UTILITY WORK,480-201-1506
LOWER BUCKEYE RD: 103RD AVE - 106TH AVE,08-26-2019 - 10/26/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-694-7185
PIERCE ST: CENTRAL AVE - 1ST ST,10-25-2019 - 10/28/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
PARADISE LN: 36TH ST - 40TH ST,08-28-2019 - 10/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BEARDSLEY RD: CAVE CREEK RD - 32ND ST,10-25-2019 - 10/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAVE CREEK RD: ROSE GARDEN LN - BEARDSLEY RD,10-25-2019 - 10/28/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
32ND ST: TONOPAH DR - MOHAWK LN,10-25-2019 - 10/28/2019,FULL,STREET TRANSPORTATION WORK,NOT APPLICABLE
107TH AVE: INDIAN SCHOOL RD - CAMELBACK RD,09-03-2019 - 10/30/2019,PARTIAL,UTILITY WORK,480-281-1506
ROESER RD: 7TH AVE - 15TH AVE,03-22-2019 - 10/31/2019,PARTIAL,UTILITY WORK,602-235-2896
CENTRAL AVE: SOUTHERN AVE - ROESER RD,03-22-2019 - 10/31/2019,PARTIAL,UTILITY WORK,602-235-2896
7TH ST: THUNDERBIRD RD - PEORIA AVE,04-01-2019 - 10/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
7TH ST: THUNDERBIRD RD - PEORIA AVE,04-01-2019 - 10/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
15TH AVE: ROESER RD - SOUTHERN AVE,05-15-2019 - 10/31/2019,PARTIAL,UTILITY WORK,602-235-2896
7TH AVE: ROESER RD - SOUTHERN AVE,06-03-2019 - 10/31/2019,PARTIAL,UTILITY WORK,602-235-2896
7TH AVE: CAMELBACK RD - MISSOURI AVE,06-10-2019 - 10/31/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
15TH AVE: ROESER RD - SUNLAND AVE,06-18-2019 - 10/31/2019,PARTIAL,UTILITY WORK,602-235-2896
CAMELBACK RD: 99TH AVE - 91ST AVE,10-31-2019 - 10/31/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
91ST AVE: CAMELBACK RD - INDIAN SCHOOL RD,10-31-2019 - 10/31/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
CAMELBACK RD: 3RD AVE - 7TH AVE,07-02-2019 - 10/31/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MISSOURI AVE: 3RD AVE - 7TH AVE,07-08-2019 - 10/31/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
NORTH VALLEY PKWY: CAREFREE HWY - CANOTIA PL,07-24-2019 - 10/31/2019,PARTIAL,UTILITY WORK,480-281-1506
NORTH VALLEY PKWY: CAREFREE HWY - CANOTIA PL,07-29-2019 - 10/31/2019,PARTIAL,UTILITY WORK,480-281-1506
7TH AVE: MISSOURI AVE - MONTEBELLO AVE,07-18-2019 - 10/31/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH AVE: CAMELBACK RD - MISSOURI AVE,07-29-2019 - 10/31/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH AVE: MISSOURI AVE - MONTEBELLO AVE,07-29-2019 - 10/31/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PORTLAND ST: 2ND ST - 3RD ST,08-12-2019 - 10/31/2019,FULL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
7TH ST: BUCKEYE RD - MOHAVE ST,08-23-2019 - 10/31/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
JEFFERSON ST: 16TH AVE - 17TH AVE,10-02-2019 - 10/31/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
40TH ST: PECOS RD - FRYE RD,09-05-2019 - 10/31/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BELL RD: 19TH AVE - BLACK CANYON HWY,09-20-2019 - 10/31/2019,PARTIAL,STREET TRANSPORTATION WORK,623-582-1919
43RD AVE: BELL RD - UNION HILLS DR,09-20-2019 - 10/31/2019,PARTIAL,STREET TRANSPORTATION WORK,623-582-1919
ROESER RD: 5TH AVE - 7TH AVE,09-13-2019 - 10/31/2019,PARTIAL,UTILITY WORK,602-235-2896
WASHINGTON ST: 51ST ST - 56TH ST,09-27-2019 - 10/31/2019,FULL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
JEFFERSON ST: 16TH AVE - 17TH AVE,10-02-2019 - 10/31/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
SOUTHERN AVE: 13TH AVE - 15TH AVE,09-30-2019 - 10/31/2019,PARTIAL,UTILITY WORK,602-235-2896
OAK ST: 32ND ST - 36TH ST,08-19-2019 - 11/01/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
THOMAS RD: 43RD AVE - 51ST AVE,09-01-2019 - 11/01/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
2ND AVE: VAN BUREN ST - FILLMORE ST,10-31-2019 - 11/01/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
16TH ST: BUCKEYE RD - GRANT ST,10-21-2019 - 11/01/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
27TH AVE: CAMELBACK RD - MISSOURI AVE,10-21-2019 - 11/01/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
CAMPBELL AVE: 99TH AVE - 107TH AVE,09-13-2019 - 11/01/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
7TH ST: CORAL GABLES DR - THUNDERBIRD RD,10-21-2019 - 11/01/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
15TH AVE: CAMELBACK RD - INDIAN SCHOOL RD,10-21-2019 - 11/01/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
27TH AVE: THOMAS RD - MCDOWELL RD,10-21-2019 - 11/01/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
